unified_distr_AGNN      inference       1       float32 1048576 109951163       3       16      2682    3
unified_distr_GAT       training        4       float32 131072  171798692       3       16      1804    7
unified_distr_AGNN      training        4       float32 131072  171798692       3       16      870     4
unified_distr_GAT       training        4       float32 1048576 109951163       3       16      4004    0
unified_distr_GAT       training        16      float32 262144  687194767       3       16      1765    3
unified_distr_VA        inference       256     float32 1048576 109951163       3       16      56      3
unified_distr_AGNN      inference       4       float32 262144  687194767       3       16      965     3
unified_distr_GAT       training        16      float32 2097152 439804651       3       16      3976    6
unified_distr_GAT       training        64      float32 131072  171798692       3       16      103     0
unified_distr_AGNN      training        64      float32 131072  171798692       3       16      94      3
unified_distr_GAT       training        64      float32 1048576 109951163       3       16      419     4
unified_distr_GAT       training        64      float32 262144  687194767       3       16      413     1
unified_distr_GAT       training        64      float32 2097152 439804651       3       16      1037    35
unified_distr_AGNN      training        16      float32 262144  687194767       3       16      887     9
unified_distr_GAT       inference       256     float32 131072  171798692       3       16      23      1
unified_distr_VA        inference       256     float32 2097152 439804651       3       16      129     1
unified_distr_GAT       inference       256     float32 262144  687194767       3       16      43      0
unified_distr_GAT       inference       256     float32 1048576 109951163       3       16      72      2
unified_distr_VA        training        256     float32 131072  171798692       3       16      36      0
unified_distr_VA        training        256     float32 262144  687194767       3       16      85      5
unified_distr_AGNN      inference       16      float32 1048576 109951163       3       16      313     1
unified_distr_AGNN      inference       64      float32 1048576 109951163       3       16      134     9
unified_distr_AGNN      inference       4       float32 1048576 109951163       3       16      1021    1
unified_distr_VA        training        1       float32 131072  171798692       3       16      2773    1
unified_distr_AGNN      inference       64      float32 262144  687194767       3       16      56      0
unified_distr_VA        training        1       float32 1048576 109951163       3       16      6614    4
unified_distr_VA        training        4       float32 2097152 439804651       3       16      7040    8
unified_distr_AGNN      training        1       float32 131072  171798692       3       16      3356    1
unified_distr_GAT       training        1       float32 1048576 109951163       3       16      13436   3
unified_distr_VA        training        4       float32 262144  687194767       3       16      2725    1
unified_distr_GAT       training        4       float32 2097152 439804651       3       16      13950   63
unified_distr_AGNN      training        1       float32 1048576 109951163       3       16      7845    4
unified_distr_VA        inference       1       float32 2097152 439804651       3       16      7655    1
unified_distr_GAT       training        1       float32 131072  171798692       3       16      8048    4
unified_distr_GAT       training        4       float32 262144  687194767       3       16      7673    2
unified_distr_AGNN      inference       4       float32 2097152 439804651       3       16      2877    2
unified_distr_AGNN      training        16      float32 1048576 109951163       3       16      964     1
unified_distr_AGNN      training        4       float32 262144  687194767       3       16      3260    2
unified_distr_AGNN      training        64      float32 1048576 109951163       3       16      500     10
unified_distr_GAT       inference       1       float32 2097152 439804651       3       16      14078   2
unified_distr_AGNN      training        64      float32 262144  687194767       3       16      235     2
unified_distr_VA        training        256     float32 1048576 109951163       3       16      221     20
unified_distr_AGNN      training        4       float32 1048576 109951163       3       16      2899    1
unified_distr_GAT       inference       256     float32 2097152 439804651       3       16      140     5
unified_distr_GAT       training        256     float32 131072  171798692       3       16      53      1
unified_distr_AGNN      inference       1       float32 2097152 439804651       3       16      9712    3
unified_distr_GAT       training        256     float32 1048576 109951163       3       16      244     13
unified_distr_GAT       training        256     float32 262144  687194767       3       16      114     6
unified_distr_VA        training        256     float32 2097152 439804651       3       16      423     5
unified_distr_AGNN      inference       16      float32 2097152 439804651       3       16      1058    1
unified_distr_AGNN      inference       256     float32 131072  171798692       3       16      15      1
unified_distr_VA        inference       64      float32 131072  171798692       3       128     145     21
unified_distr_VA        inference       16      float32 131072  171798692       3       128     369     10
unified_distr_AGNN      inference       64      float32 2097152 439804651       3       16      326     1
unified_distr_VA        inference       4       float32 131072  171798692       3       128     1186    1
unified_distr_AGNN      inference       256     float32 1048576 109951163       3       16      55      0
unified_distr_AGNN      inference       256     float32 262144  687194767       3       16      26      0
unified_distr_VA        inference       16      float32 1048576 109951163       3       128     2762    27
unified_distr_VA        training        16      float32 131072  171798692       3       128     1161    34
unified_distr_VA        inference       64      float32 262144  687194767       3       128     411     11
unified_distr_VA        training        64      float32 131072  171798692       3       128     550     35
unified_distr_VA        inference       16      float32 262144  687194767       3       128     1200    0
unified_distr_VA        inference       4       float32 1048576 109951163       3       128     5777    2
unified_distr_AGNN      training        16      float32 2097152 439804651       3       16      2976    5
unified_distr_AGNN      training        64      float32 2097152 439804651       3       16      1054    23
unified_distr_VA        inference       1       float32 131072  171798692       3       128     3601    3
unified_distr_GAT       training        256     float32 2097152 439804651       3       16      447     7
unified_distr_AGNN      training        4       float32 2097152 439804651       3       16      8284    2
unified_distr_VA        inference       4       float32 262144  687194767       3       128     3751    3
unified_distr_VA        inference       1       float32 1048576 109951163       3       128     12823   7
unified_distr_VA        training        4       float32 131072  171798692       3       128     3576    0
unified_distr_VA        inference       64      float32 1048576 109951163       3       128     1293    7
unified_distr_VA        training        16      float32 1048576 109951163       3       128     7346    31
unified_distr_GAT       inference       4       float32 131072  171798692       3       128     1491    4
unified_distr_VA        inference       64      float32 2097152 439804651       3       128     2713    6
unified_distr_VA        training        64      float32 262144  687194767       3       128     1205    41
unified_distr_VA        inference       16      float32 2097152 439804651       3       128     6021    8
unified_distr_VA        training        16      float32 262144  687194767       3       128     3596    2
unified_distr_GAT       inference       16      float32 131072  171798692       3       128     375     18
unified_distr_VA        training        4       float32 1048576 109951163       3       128     16081   5
unified_distr_GAT       inference       64      float32 131072  171798692       3       128     150     10
unified_distr_GAT       inference       1       float32 131072  171798692       3       128     4714    0
unified_distr_VA        inference       4       float32 2097152 439804651       3       128     14047   13
unified_distr_VA        training        64      float32 1048576 109951163       3       128     3297    17
unified_distr_GAT       inference       64      float32 262144  687194767       3       128     397     18
unified_distr_AGNN      training        256     float32 131072  171798692       3       16      48      9
unified_distr_VA        training        64      float32 2097152 439804651       3       128     7166    7
unified_distr_GAT       inference       1       float32 1048576 109951163       3       128     13549   7
unified_distr_GAT       training        4       float32 131072  171798692       3       128     4782    11
unified_distr_GAT       inference       16      float32 262144  687194767       3       128     1488    2
unified_distr_GAT       inference       4       float32 262144  687194767       3       128     4803    0
unified_distr_AGNN      inference       256     float32 2097152 439804651       3       16      121     0
unified_distr_GAT       training        16      float32 131072  171798692       3       128     1153    25
unified_distr_VA        training        1       float32 131072  171798692       3       128     11827   4
unified_distr_VA        training        16      float32 2097152 439804651       3       128     16704   6
unified_distr_GAT       training        64      float32 131072  171798692       3       128     459     14
unified_distr_GAT       inference       16      float32 1048576 109951163       3       128     2821    30
unified_distr_VA        training        4       float32 262144  687194767       3       128     12068   46
unified_distr_GAT       inference       4       float32 1048576 109951163       3       128     6228    22
unified_distr_VA        training        1       float32 2097152 439804651       3       16      22422   14
unified_distr_GAT       training        64      float32 262144  687194767       3       128     1188    13
unified_distr_AGNN      training        256     float32 1048576 109951163       3       16      197     5
unified_distr_VA        training        1       float32 1048576 109951163       3       128     38553   10
unified_distr_AGNN      training        256     float32 262144  687194767       3       16      85      1
unified_distr_VA        inference       256     float32 131072  171798692       3       128     56      1
unified_distr_VA        inference       256     float32 262144  687194767       3       128     147     5
unified_distr_GAT       training        16      float32 262144  687194767       3       128     4711    7
unified_distr_VA        inference       256     float32 1048576 109951163       3       128     726     7
unified_distr_VA        inference       256     float32 2097152 439804651       3       128     1448    56
unified_distr_AGNN      training        1       float32 2097152 439804651       3       16      27958   4
unified_distr_GAT       inference       64      float32 1048576 109951163       3       128     1282    4
unified_distr_GAT       training        16      float32 1048576 109951163       3       128     6798    18
unified_distr_AGNN      inference       4       float32 131072  171798692       3       128     1853    14
unified_distr_GAT       inference       16      float32 2097152 439804651       3       128     6305    3
unified_distr_GAT       training        1       float32 2097152 439804651       3       16      52682   8
unified_distr_GAT       training        1       float32 131072  171798692       3       128     18999   5
unified_distr_GAT       inference       256     float32 131072  171798692       3       128     68      6
unified_distr_GAT       training        4       float32 1048576 109951163       3       128     16853   4
unified_distr_VA        training        4       float32 2097152 439804651       3       128     41239   35
unified_distr_VA        inference       1       float32 2097152 439804651       3       128     38323   7
unified_distr_AGNN      inference       1       float32 131072  171798692       3       128     7525    6
unified_distr_GAT       inference       4       float32 2097152 439804651       3       128     15406   3
unified_distr_GAT       training        64      float32 1048576 109951163       3       128     3070    15
unified_distr_GAT       training        4       float32 262144  687194767       3       128     18563   7
unified_distr_AGNN      inference       16      float32 131072  171798692       3       128     427     5
unified_distr_AGNN      inference       64      float32 131072  171798692       3       128     147     2
unified_distr_GAT       inference       64      float32 2097152 439804651       3       128     2930    34
unified_distr_AGNN      inference       16      float32 262144  687194767       3       128     1801    2
unified_distr_GAT       training        1       float32 1048576 109951163       3       128     44632   9
unified_distr_AGNN      training        4       float32 131072  171798692       3       128     4946    36
unified_distr_AGNN      training        256     float32 2097152 439804651       3       16      491     3
unified_distr_GAT       training        16      float32 2097152 439804651       3       128     17105   9
unified_distr_GAT       inference       256     float32 262144  687194767       3       128     141     2
unified_distr_AGNN      training        64      float32 131072  171798692       3       128     577     17
unified_distr_AGNN      training        16      float32 131072  171798692       3       128     1333    6
unified_distr_AGNN      inference       4       float32 262144  687194767       3       128     7300    3
unified_distr_AGNN      inference       16      float32 1048576 109951163       3       128     2904    7
unified_distr_GAT       training        64      float32 2097152 439804651       3       128     6940    53
unified_distr_AGNN      inference       4       float32 1048576 109951163       3       128     7231    3
unified_distr_AGNN      training        16      float32 262144  687194767       3       128     4858    18
unified_distr_VA        training        256     float32 131072  171798692       3       128     222     3
unified_distr_VA        training        256     float32 262144  687194767       3       128     504     12
unified_distr_VA        training        256     float32 1048576 109951163       3       128     1733    26
unified_distr_VA        training        256     float32 2097152 439804651       3       128     3682    6
unified_distr_GAT       inference       1       float32 2097152 439804651       3       128     41242   5
unified_distr_GAT       training        256     float32 131072  171798692       3       128     232     8
unified_distr_GAT       inference       256     float32 1048576 109951163       3       128     696     5
unified_distr_GAT       inference       256     float32 2097152 439804651       3       128     1457    35
unified_distr_AGNN      inference       1       float32 1048576 109951163       3       128     18854   5
unified_distr_GAT       training        256     float32 262144  687194767       3       128     462     10
unified_distr_AGNN      training        16      float32 1048576 109951163       3       128     7859    9
unified_distr_AGNN      inference       64      float32 262144  687194767       3       128     440     1
unified_distr_AGNN      training        1       float32 131072  171798692       3       128     18652   9
unified_distr_AGNN      inference       256     float32 131072  171798692       3       128     63      13
unified_distr_AGNN      inference       64      float32 1048576 109951163       3       128     1399    3
unified_distr_AGNN      inference       64      float32 2097152 439804651       3       128     2976    6
unified_distr_GAT       training        4       float32 2097152 439804651       3       128     47781   39
unified_distr_AGNN      training        4       float32 1048576 109951163       3       128     19182   12
unified_distr_AGNN      inference       16      float32 2097152 439804651       3       128     7422    9
unified_distr_AGNN      inference       256     float32 262144  687194767       3       128     146     1
unified_distr_AGNN      inference       256     float32 1048576 109951163       3       128     738     7
unified_distr_AGNN      inference       256     float32 2097152 439804651       3       128     1614    55
unified_distr_AGNN      training        64      float32 262144  687194767       3       128     1344    6
unified_distr_AGNN      training        256     float32 131072  171798692       3       128     252     13
unified_distr_GAT       training        256     float32 1048576 109951163       3       128     1596    7
unified_distr_GAT       training        256     float32 2097152 439804651       3       128     3294    40
unified_distr_AGNN      training        64      float32 1048576 109951163       3       128     3570    4
unified_distr_AGNN      training        4       float32 262144  687194767       3       128     18248   9
unified_distr_AGNN      inference       4       float32 2097152 439804651       3       128     20365   4
unified_distr_AGNN      training        16      float32 2097152 439804651       3       128     20093   22
unified_distr_AGNN      training        256     float32 1048576 109951163       3       128     1877    46
unified_distr_AGNN      training        1       float32 1048576 109951163       3       128     48964   13
unified_distr_AGNN      training        256     float32 262144  687194767       3       128     515     8
unified_distr_AGNN      training        256     float32 2097152 439804651       3       128     4175    42
unified_distr_AGNN      training        64      float32 2097152 439804651       3       128     8094    13
unified_distr_VA        training        1       float32 2097152 439804651       3       128     119487  27
unified_distr_AGNN      training        4       float32 2097152 439804651       3       128     53224   20
unified_distr_AGNN      inference       1       float32 2097152 439804651       3       128     64443   34
unified_distr_GAT       training        1       float32 2097152 439804651       3       128     150310  19
unified_distr_AGNN      training        1       float32 2097152 439804651       3       128     168413  26
