model,nodes,vertices,features,time,exp_type,density
agnn,16,131072,128,8.721,AGNN_AGNN_THIS_WORK,
agnn,16,131072,128,8.81,AGNN_THIS_WORK,0.01
agnn,16,131072,16,0.0867366790771484,AGNN_DIST,0.001
agnn,16,131072,16,0.102121353149414,AGNN_DIST,0.0001
agnn,16,131072,16,0.108,AGNN_THIS_WORK,0.0001
agnn,16,131072,16,0.1173076629638671,AGNN_DIST,0.01
agnn,16,131072,16,0.2042436599731445,AGNN_DIST,
agnn,16,131072,16,0.2259223461151123,AGNN_DIST_SAMPLE,0.0001
agnn,16,131072,16,0.241,AGNN_THIS_WORK,0.001
agnn,16,131072,16,0.3068351745605469,AGNN_DIST_SAMPLE,0.001
agnn,16,131072,16,0.321,AGNN_THIS_WORK,0.01
agnn,16,131072,16,0.343,AGNN_THIS_WORK,0.01
agnn,16,131072,16,0.3826525211334228,AGNN_DIST_SAMPLE,0.01
agnn,16,131072,16,0.5816745758056641,AGNN_DIST_SAMPLE,
agnn,16,2097152,128,130.495,AGNN_THIS_WORK,0.0001
agnn,16,2097152,128,130.947,AGNN_THIS_WORK,0.0001
agnn,16,2097152,16,11.411282300949097,AGNN_DIST,
agnn,16,2097152,16,13.034884691238403,AGNN_DIST_SAMPLE,
agnn,16,2097152,16,15.083,AGNN_THIS_WORK,0.001
agnn,16,2097152,16,3.869,AGNN_THIS_WORK,0.0001
agnn,16,2097152,16,4.087,AGNN_THIS_WORK,0.0001
agnn,16,262144,128,0.1407086849212646,AGNN_DIST,0.0001
agnn,16,262144,128,0.2207176685333252,AGNN_DIST,0.001
agnn,16,262144,128,0.2441952228546142,AGNN_DIST,0.01
agnn,16,262144,128,0.3540310859680176,AGNN_DIST_SAMPLE,0.0001
agnn,16,262144,128,0.5171308517456055,AGNN_DIST_SAMPLE,0.001
agnn,16,262144,128,0.7050633430480957,AGNN_DIST_SAMPLE,0.01
agnn,16,262144,128,3.187,AGNN_THIS_WORK,0.0001
agnn,16,262144,128,56.832,AGNN_THIS_WORK,0.01
agnn,16,262144,128,57.307,AGNN_THIS_WORK,0.01
agnn,16,262144,128,8.221,AGNN_THIS_WORK,0.001
agnn,16,262144,16,0.0919222831726074,AGNN_DIST,0.0001
agnn,16,262144,16,0.1571981906890869,AGNN_DIST,0.001
agnn,16,262144,16,0.195,AGNN_THIS_WORK,0.0001
agnn,16,262144,16,0.2092328071594238,AGNN_DIST,0.01
agnn,16,262144,16,0.3334622383117676,AGNN_DIST_SAMPLE,0.0001
agnn,16,262144,16,0.3514933586120605,AGNN_DIST,
agnn,16,262144,16,0.354,AGNN_THIS_WORK,0.001
agnn,16,262144,16,0.5075855255126953,AGNN_DIST_SAMPLE,0.001
agnn,16,262144,16,0.6463272571563721,AGNN_DIST_SAMPLE,0.01
agnn,16,262144,16,0.954,AGNN_THIS_WORK,0.01
agnn,16,262144,16,0.9768557548522948,AGNN_DIST_SAMPLE,
agnn,16,262144,16,0.991,AGNN_THIS_WORK,0.01
agnn,16,524288,128,0.5194900035858154,AGNN_DIST,0.0001
agnn,16,524288,128,0.5952308177947998,AGNN_DIST,0.001
