Timestamp,Model,Algorithm,#Nodes,#Vertices,#Features,#Features_2,Density,Time mean [ms],Setting,What is this?
2023-04-01 21:05:17.210754,gat,dgl,8,262144,128,128,0.01,1.3162121772766113,DIST,16384
2023-04-01 21:03:21.882001,gcn,dgl,8,262144,128,128,0.01,0.851158857345581,DIST,16384
2023-04-01 21:03:57.994843,va,dgl,8,262144,128,128,0.01,0.8832230567932129,DIST,16384
2023-04-01 21:08:31.536625,agnn,dgl,8,1048576,128,128,0.0001,6.314969301223755,DIST,16384
2023-04-02 17:49:51.414914,gat,dgl,8,1048576,128,128,0.0001,8.125069856643677,DIST,16384
2023-04-01 21:06:01.987844,gcn,dgl,8,1048576,128,128,0.0001,6.183500051498413,DIST,16384
2023-04-01 21:07:08.941479,va,dgl,8,1048576,128,128,0.0001,6.155194997787476,DIST,16384
2023-04-01 21:03:11.964402,agnn,dgl,8,131072,128,128,0.01,0.3064703941345215,DIST,16384
2023-04-01 21:03:39.770106,gat,dgl,8,131072,128,128,0.01,0.49163222312927246,DIST,16384
2023-04-01 21:02:17.813108,gcn,dgl,8,131072,128,128,0.01,0.25314927101135254,DIST,16384
2023-04-01 21:02:43.444419,va,dgl,8,131072,128,128,0.01,0.22893619537353516,DIST,16384
2023-04-01 21:13:00.480583,agnn,dgl,8,2097152,128,128,0.0001,24.23513674736023,DIST,16384
2023-04-01 21:07:41.803257,gcn,dgl,8,2097152,128,128,0.0001,20.20895218849182,DIST,16384
2023-04-01 21:09:40.214821,va,dgl,8,2097152,128,128,0.0001,23.050439834594727,DIST,16384
2023-04-01 20:59:32.917206,agnn,dgl,16,1048576,128,128,0.0001,3.5745410919189453,DIST,16384
2023-04-02 23:05:42.948246,gat,dgl,16,1048576,128,128,0.0001,4.201152801513672,DIST,16384
2023-04-01 20:58:01.024488,gcn,dgl,16,1048576,128,128,0.0001,3.6628305912017822,DIST,16384
2023-04-01 20:58:43.907787,va,dgl,16,1048576,128,128,0.0001,3.200516939163208,DIST,16384
2023-04-01 21:01:38.932915,agnn,dgl,16,2097152,128,128,0.0001,11.083421468734741,DIST,16384
2023-04-01 20:58:12.054557,gcn,dgl,16,2097152,128,128,0.0001,11.851887464523315,DIST,16384
2023-04-01 21:00:28.580187,va,dgl,16,2097152,128,128,0.0001,11.581932067871094,DIST,16384
2023-04-01 20:58:57.873231,agnn,dgl,16,262144,128,128,0.01,0.4170255661010742,DIST,16384
2023-04-01 20:59:32.907595,gat,dgl,16,262144,128,128,0.01,0.8722515106201172,DIST,16384
