Experiment ID,Job ID,Model,Task,Setting,#Repetitions,#Nodes,Dataset,Datatyp,Scale,#Vertices,Density,#Edges,#Layers,#Features,Elapsed,Node-Hours,Done,Time mean [ms],Time std [ms]
,45841960,VA,Training,Distributed,1,16,Kronecker,float32,18,262144,1%,687194767,3,16,,,,6215,
,45834562,VA,Training,Distributed,1,16,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,4486,
,45834625,VA,Training,Distributed,1,16,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,13649,
,45834475,VA,Training,Distributed,1,64,Kronecker,float32,17,131072,1%,171798692,3,16,,,,2076,
,45841964,VA,Training,Distributed,1,64,Kronecker,float32,18,262144,1%,687194767,3,16,,,,2913,
,45834569,VA,Training,Distributed,1,64,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,1931,
,45834631,VA,Training,Distributed,1,64,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,5232,
,45834477,VA,Training,Distributed,1,256,Kronecker,float32,17,131072,1%,171798692,3,16,,,,3586,
,45841983,VA,Training,Distributed,1,256,Kronecker,float32,18,262144,1%,687194767,3,16,,,,5650,
,45834581,VA,Training,Distributed,1,256,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,3484,
,45834637,VA,Training,Distributed,1,256,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,4251,
,45834694,VA,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,128,,,,486895,
,45842052,VA,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,128,,,OOM,,
,45834784,VA,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,747788,
,45837568,VA,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,CUDA OOM,,
,45834707,VA,Training,Distributed,1,4,Kronecker,float32,17,131072,1%,171798692,3,128,,,,88250,
,45842062,VA,Training,Distributed,1,4,Kronecker,float32,18,262144,1%,687194767,3,128,,,,456897,
,45834800,VA,Training,Distributed,1,4,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,176031,
,45837615,VA,Training,Distributed,1,4,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,768338,
,45834713,VA,Training,Distributed,1,16,Kronecker,float32,17,131072,1%,171798692,3,128,,,,14146,
,45842823,VA,Training,Distributed,1,16,Kronecker,float32,18,262144,1%,687194767,3,128,,,,83319,
,45834821,VA,Training,Distributed,1,16,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,39068,
,45834852,VA,Training,Distributed,1,16,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,176387,
,45834722,VA,Training,Distributed,1,64,Kronecker,float32,17,131072,1%,171798692,3,128,,,,4449,
,45842831,VA,Training,Distributed,1,64,Kronecker,float32,18,262144,1%,687194767,3,128,,,,14421,
,45834837,VA,Training,Distributed,1,64,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,11319,
,45834855,VA,Training,Distributed,1,64,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,39777,
,45834734,VA,Training,Distributed,1,256,Kronecker,float32,17,131072,1%,171798692,3,128,,,,3837,
,45842833,VA,Training,Distributed,1,256,Kronecker,float32,18,262144,1%,687194767,3,128,,,Pending,,
,45834845,VA,Training,Distributed,1,256,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,6774,
,45834862,VA,Training,Distributed,1,256,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,12808,
1,45845471,VA,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,16,,,,22108,
2,45845481,VA,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,16,,,OOM,,
3,45845494,VA,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,16,,,,40811,
4,45845985,VA,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,16,,,,187795,
5,45845510,VA,Training,Single Node,1,1,Kronecker,float32,17,131072,1%,171798692,3,128,,,,431028,
6,45845511,VA,Training,Single Node,1,1,Kronecker,float32,18,262144,1%,687194767,3,128,,,OOM,,
7,45845512,VA,Training,Single Node,1,1,Kronecker,float32,20,1048576,0.01%,109951163,3,128,,,,427156,
8,45845973,VA,Training,Single Node,1,1,Kronecker,float32,21,2097152,0.01%,439804651,3,128,,,,2024953,
